Measure 1,Measure 2,Measure 3,Measure 4,Measure 5
0.08,0.076,0.071,0.075,0.075
0.075,0.071,0.067,0.068,0.07
0.064,0.069,0.068,0.062,0.069
0.072,0.067,0.073,0.071,0.070
0.068,0.06,0.067,0.061,0.063
0.065,0.063,0.066,0.065,0.061
0.066,0.064,0.069,0.061,0.062
0.025,0.027,0.033,0.029,0.027
0.029,0.027,0.027,0.024,0.024
0.032,0.03,0.03,0.025,0.023
0.049,0.053,0.049,0.047,0.047
0.045,0.05,0.047,0.045,0.048
0.052,0.052,0.047,0.052,0.053
0.045,0.058,0.051,0.047,0.057
